0,lemma,frequency
in,in,1406887
sein,sein,1202977
um ... zu,zu,774192
zu,zu,774192
zu,zu,774192
werden,werden,713864
von,von,530525
mit,mit,529970
für,für,518813
an,an,447609
auf,auf,431105
haben,haben,415168
auch,auch,326103
können,können,305117
beim,bei,298275
bei,bei,298275
als,als,218244
als,als,218244
aus,aus,200021
nach,nach,183999
um,um,169125
über,über,157962
dass,dass,151730
das Jahr,Jahr,135887
vor,vor,129995
geben,geben,127957
sollen,sollen,125800
so,so,120727
aber,aber,119965
noch,noch,119715
immer noch,noch,119715
durch,durch,118056
neu,neu,114980
nur,nur,114871
besser,gut,105948
gut,gut,105948
am besten,gut,105948
bis,bis,99450
mehr,mehr,89479
wenn,wenn,82456
groß,groß,82072
kommen,kommen,81368
was,was,77582
stehen,stehen,77541
machen,machen,76430
finden,finden,75121
unterste,unter,74414
unter,unter,74414
gehen,gehen,74278
hier,hier,71633
dann,dann,70577
viele,vieler,68709
wollen,wollen,61532
weit,weit,61019
der Mensch,Mensch,60941
dabei,dabei,60053
stellen,stellen,57179
immer,immer,56601
wieder,wieder,55699
nie wieder,wieder,55699
das Kind,Kind,54880
schon,schon,54618
müssen,müssen,54379
gegen,gegen,53677
damit,damit,53056
seit,seit,52646
deutsch,deutsch,52595
ab,ab,52266
doch,doch,48969
ganz,ganz,48371
da,da,47818
da,da,47818
das Prozent,Prozent,47709
bereits,bereits,47027
liegen,liegen,46181
sagen,sagen,45302
wichtig,wichtig,45027
nun,nun,43969
sehen,sehen,43822
die Zeit,Zeit,42387
höher,hoch,42189
hoch,hoch,42189
jetzt,jetzt,41550
zeigen,zeigen,40863
rund,rund,40745
der Tag,Tag,40289
zwischen,zwischen,39732
zwischen,zwischen,39732
bleiben,bleiben,38461
unternehmen,Unternehmen,38151
dazu,dazu,37116
lassen,lassen,35999
alt,alt,35861
erhalten,erhalten,35841
eigen,eigen,35838
klein,klein,35369
ohne,ohne,34981
das Land,Land,34851
leben,leben,34647
die Uhr,Uhr,34638
möglich,möglich,34337
viel,viel,33851
das Thema,Thema,33461
dürfen,dürfen,33224
nehmen,nehmen,33109
denn,denn,31669
dort,dort,31558
die Schule,Schule,30912
ob,ob,30700
weiter,weiter,30468
einfach,einfach,30269
die Frau,Frau,30234
gemeinsam,gemeinsam,30003
die Stadt,Stadt,29872
arbeiten,arbeiten,29133
das Mal,Mal,29029
jung,jung,28847
dafür,dafür,28820
setzen,setzen,28696
einigen,einiger,28525
die Information,Information,28363
bringen,bringen,28319
spielen,spielen,28180
etwa,etwa,28156
fragen,fragen,27772
also,also,27697
der Bereich,Bereich,27610
sondern,sondern,27585
der Teil,Teil,27305
stark,stark,27069
stark,stark,27069
während,während,26803
das Projekt,Projekt,26578
besonders,besonders,26237
schnell,schnell,25616
zudem,zudem,25613
die Seite,Seite,25375
das Ende,Ende,25357
allerdings,allerdings,25063
die Woche,Woche,24792
gehören,gehören,24619
unterstützen,unterstützen,24600
suchen,suchen,24039
halten,halten,23991
statt,statt,23749
neben,neben,23459
der Weg,Weg,23383
bestehen,bestehen,23352
möchten,möchten,23186
erst,erst,23122
sprechen,sprechen,22402
der Schüler,Schüler,22256
die Person,Person,22202
die Arbeit,Arbeit,22106
